s,p,o
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,Bauwerk
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,architectural structure
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,αρχιτεκτονική κατασκευή
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,構造物
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,bouwsel
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,struttura architettonica
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,건축 구조
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,structure architecturale
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,struchtúr ailtireachta
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2000/01/rdf-schema#label,estructura arquitectural
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,Universität
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,universidade
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,university
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,πανεπιστήμιο
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,大学
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,universiteit
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,대학
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,université
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,uniwersytet
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,ollscoil
http://dbpedia.org/ontology/University,http://www.w3.org/2000/01/rdf-schema#label,universidad
http://dbpedia.org/ontology/EducationalInstitution,http://www.w3.org/2000/01/rdf-schema#label,Bildungseinrichtung
http://dbpedia.org/ontology/EducationalInstitution,http://www.w3.org/2000/01/rdf-schema#label,educational institution
http://dbpedia.org/ontology/EducationalInstitution,http://www.w3.org/2000/01/rdf-schema#label,εκπαιδευτικό ίδρυμα
http://dbpedia.org/ontology/EducationalInstitution,http://www.w3.org/2000/01/rdf-schema#label,onderwijsinstelling
http://dbpedia.org/ontology/EducationalInstitution,http://www.w3.org/2000/01/rdf-schema#label,교육 기관
http://dbpedia.org/ontology/EducationalInstitution,http://www.w3.org/2000/01/rdf-schema#label,établissement d'enseignement
http://dbpedia.org/ontology/EducationalInstitution,http://www.w3.org/2000/01/rdf-schema#label,institución educativa
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,anatomska struktura
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,estrutura anatómica
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,anatomischen Struktur
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,anatomical structure
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,ανατομική δομή
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,解剖構造
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,anatomische structuur
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,struttura anatomica
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,해부학
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,structure anatomique
http://dbpedia.org/ontology/AnatomicalStructure,http://www.w3.org/2000/01/rdf-schema#label,coirpeog
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,televizijska oddaja
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,Fernsehsendung
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,television show
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,τηλεοπτική σειρά
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,テレビ番組
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,televisie show
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,émission de télévision
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,clár teilifíse
http://dbpedia.org/ontology/TelevisionShow,http://www.w3.org/2000/01/rdf-schema#label,serie de televisión
http://dbpedia.org/ontology/Work,http://www.w3.org/2000/01/rdf-schema#label,Werk
http://dbpedia.org/ontology/Work,http://www.w3.org/2000/01/rdf-schema#label,obra
http://dbpedia.org/ontology/Work,http://www.w3.org/2000/01/rdf-schema#label,work
http://dbpedia.org/ontology/Work,http://www.w3.org/2000/01/rdf-schema#label,δημιουργία
http://dbpedia.org/ontology/Work,http://www.w3.org/2000/01/rdf-schema#label,仕事
http://dbpedia.org/ontology/Work,http://www.w3.org/2000/01/rdf-schema#label,werk
http://dbpedia.org/ontology/Work,http://www.w3.org/2000/01/rdf-schema#label,œuvre
http://dbpedia.org/ontology/Work,http://www.w3.org/2000/01/rdf-schema#label,obair
http://dbpedia.org/ontology/LaunchPad,http://www.w3.org/2000/01/rdf-schema#label,Startrampe
http://dbpedia.org/ontology/LaunchPad,http://www.w3.org/2000/01/rdf-schema#label,launch pad
http://dbpedia.org/ontology/LaunchPad,http://www.w3.org/2000/01/rdf-schema#label,ράμπα φορτώσεως
http://dbpedia.org/ontology/LaunchPad,http://www.w3.org/2000/01/rdf-schema#label,lanceerbasis
http://dbpedia.org/ontology/LaunchPad,http://www.w3.org/2000/01/rdf-schema#label,rampe de lancement
http://dbpedia.org/ontology/LaunchPad,http://www.w3.org/2000/01/rdf-schema#label,ceap lainseála
http://dbpedia.org/ontology/Infrastructure,http://www.w3.org/2000/01/rdf-schema#label,Infrastruktur
http://dbpedia.org/ontology/Infrastructure,http://www.w3.org/2000/01/rdf-schema#label,infrastructure
http://dbpedia.org/ontology/Infrastructure,http://www.w3.org/2000/01/rdf-schema#label,Υποδομή
http://dbpedia.org/ontology/Infrastructure,http://www.w3.org/2000/01/rdf-schema#label,インフラストラクチャー
http://dbpedia.org/ontology/Infrastructure,http://www.w3.org/2000/01/rdf-schema#label,infrastructure
http://dbpedia.org/ontology/Infrastructure,http://www.w3.org/2000/01/rdf-schema#label,infrastructure
http://dbpedia.org/ontology/CyclingLeague,http://www.w3.org/2000/01/rdf-schema#label,Rad-Liga
http://dbpedia.org/ontology/CyclingLeague,http://www.w3.org/2000/01/rdf-schema#label,cycling league
http://dbpedia.org/ontology/CyclingLeague,http://www.w3.org/2000/01/rdf-schema#label,Ομοσπονδία Ποδηλασίας
http://dbpedia.org/ontology/CyclingLeague,http://www.w3.org/2000/01/rdf-schema#label,wielerronde
http://dbpedia.org/ontology/CyclingLeague,http://www.w3.org/2000/01/rdf-schema#label,사이클 리그
http://dbpedia.org/ontology/CyclingLeague,http://www.w3.org/2000/01/rdf-schema#label,ligue de cyclisme
http://dbpedia.org/ontology/CyclingLeague,http://www.w3.org/2000/01/rdf-schema#label,liga de ciclismo
http://dbpedia.org/ontology/Territory,http://www.w3.org/2000/01/rdf-schema#label,Territorium
http://dbpedia.org/ontology/Territory,http://www.w3.org/2000/01/rdf-schema#label,territory
http://dbpedia.org/ontology/Territory,http://www.w3.org/2000/01/rdf-schema#label,περιοχή
http://dbpedia.org/ontology/Territory,http://www.w3.org/2000/01/rdf-schema#label,国土
http://dbpedia.org/ontology/Territory,http://www.w3.org/2000/01/rdf-schema#label,territorium
http://dbpedia.org/ontology/Territory,http://www.w3.org/2000/01/rdf-schema#label,territoire
http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2000/01/rdf-schema#label,bewohnter Ort
http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2000/01/rdf-schema#label,populated place
http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2000/01/rdf-schema#label,πυκνοκατοικημένη περιοχή
http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2000/01/rdf-schema#label,تجمع سكاني
http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2000/01/rdf-schema#label,bebouwde omgeving
http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2000/01/rdf-schema#label,lieu habité
http://dbpedia.org/ontology/CurlingLeague,http://www.w3.org/2000/01/rdf-schema#label,Curling-Liga
http://dbpedia.org/ontology/CurlingLeague,http://www.w3.org/2000/01/rdf-schema#label,curling league
http://dbpedia.org/ontology/CurlingLeague,http://www.w3.org/2000/01/rdf-schema#label,πρωτάθλημα curling
http://dbpedia.org/ontology/CurlingLeague,http://www.w3.org/2000/01/rdf-schema#label,curling competitie
http://dbpedia.org/ontology/CurlingLeague,http://www.w3.org/2000/01/rdf-schema#label,컬링 리그
http://dbpedia.org/ontology/CurlingLeague,http://www.w3.org/2000/01/rdf-schema#label,ligue de curling
http://dbpedia.org/ontology/CurlingLeague,http://www.w3.org/2000/01/rdf-schema#label,sraith curlála
http://dbpedia.org/ontology/CurlingLeague,http://www.w3.org/2000/01/rdf-schema#label,liga de curling
http://dbpedia.org/ontology/GatedCommunity,http://www.w3.org/2000/01/rdf-schema#label,Gated community
http://dbpedia.org/ontology/GatedCommunity,http://www.w3.org/2000/01/rdf-schema#label,Hofje / gebouw met woongemeenschap
http://dbpedia.org/ontology/GatedCommunity,http://www.w3.org/2000/01/rdf-schema#label,bewachte Wohnanlage / Siedlung
http://dbpedia.org/ontology/MusicFestival,http://www.w3.org/2000/01/rdf-schema#label,Musikfestival
http://dbpedia.org/ontology/MusicFestival,http://www.w3.org/2000/01/rdf-schema#label,music festival
http://dbpedia.org/ontology/MusicFestival,http://www.w3.org/2000/01/rdf-schema#label,φεστιβάλ μουσικής
http://dbpedia.org/ontology/MusicFestival,http://www.w3.org/2000/01/rdf-schema#label,muziekfestival
http://dbpedia.org/ontology/MusicFestival,http://www.w3.org/2000/01/rdf-schema#label,음악제
http://dbpedia.org/ontology/MusicFestival,http://www.w3.org/2000/01/rdf-schema#label,festival de musique
http://dbpedia.org/ontology/MusicFestival,http://www.w3.org/2000/01/rdf-schema#label,festival de música
http://dbpedia.org/ontology/SocietalEvent,http://www.w3.org/2000/01/rdf-schema#label,societal event
http://dbpedia.org/ontology/SocietalEvent,http://www.w3.org/2000/01/rdf-schema#label,évènement collectif
http://dbpedia.org/ontology/SocietalEvent,http://www.w3.org/2000/01/rdf-schema#label,gesellschatliches Ereignis
http://dbpedia.org/ontology/SocietalEvent,http://www.w3.org/2000/01/rdf-schema#label,maatschappelijke gebeurtenis
http://dbpedia.org/ontology/Tax,http://www.w3.org/2000/01/rdf-schema#label,Steuer
http://dbpedia.org/ontology/Tax,http://www.w3.org/2000/01/rdf-schema#label,tax
http://dbpedia.org/ontology/Tax,http://www.w3.org/2000/01/rdf-schema#label,φόρος
